org_id,all_targets,low_targets,medium_targets,high_targets,critical_targets,service_count,ip_count,network_count
c1456d01-5ece-4cf0-af3e-d7d23590e9ec,45,7,36,2,0,10,43,0
7ec291c2-de2b-48f4-8552-5c285dd0debc,13,1,9,2,1,10,15,1
1e557cd2-337f-4555-aa7f-08c1d43092a0,354,254,98,2,0,28,650,2
c4b0c8d3-207f-47ef-b4b7-9d52598fd7e4,179,121,53,3,2,18,693,3
9502c23b-4755-42ee-af16-dbf7bb8957af,69,35,34,0,0,12,28,0
4c737ce2-6c00-451b-9415-7f500560677a,22,18,3,1,0,5,38,1
7b0b75fe-2ccf-49a5-b0a2-8dab01837ecc,57,27,29,1,0,12,69,0
ad9eae96-7ec0-4297-af95-1f7caab8d2dd,200,156,39,5,0,22,264,0
01da6184-7e2e-47ae-94d2-0e1b2eb73a2d,57,10,45,2,0,20,63,2
f1121885-fa13-49e3-847c-16c13aaf5913,31,4,26,1,0,15,44,0
470203d5-7817-401a-a637-4a1e8275bacb,790,590,200,0,0,36,1137,7
dc628f9f-94bd-427a-b7de-7ea6bcb721c4,31,7,22,1,1,13,42,1
bd998e0c-7724-4e37-9c29-006356fe125b,65,54,10,0,1,12,60,3
3dba919b-374b-44c4-bb17-19a75c946445,21,1,19,0,1,8,27,5
39be705b-5234-4519-91e6-e83ec986e4ce,472,84,364,23,1,70,528,3
0b917dfd-3842-47d7-87c5-0ed7fab39115,290,186,100,4,0,39,304,1
a957c407-9d60-4d25-8be9-136f42966402,41,27,10,3,1,14,25,12
dc00dee4-b291-41ce-bd79-a8200e9a6280,54,27,27,0,0,9,61,0
aabb7f1f-8cd5-4b38-bf6f-4ca77d5c51c1,44,31,9,4,0,15,96,1
6fb69f64-486d-43a4-a0e3-fc1efaf09ebb,160,160,0,0,0,3,207,0
4c2ce37b-8cec-44b9-acde-96967a443ca4,112,46,62,4,0,18,119,17
6f17e9db-91df-45d6-b215-19a1a5fa0e9b,60,53,7,0,0,6,63,0
0ea67366-ae5d-455c-8149-69201e019a77,59,56,3,0,0,4,39,0
669936c4-e92a-46ab-96b9-e747254c5b57,8,3,5,0,0,6,19,0
