org_id,total_ip_count,on_prem_ipv4_count,cloud_ipv4_count,amazon_ipv4_count,azure_ipv4_count,o365_ipv4_count,gcp_ipv4_count,private_ipv4_count,on_prem_ipv6_count,cloud_ipv6_count,amazon_ipv6_count,azure_ipv6_count,o365_ipv6_count,gcp_ipv6_count,private_ipv6_count,invalid_ip_count
48762cd2-78c2-40e1-99b1-2cb1ebd516c9,281,215,29,2,3,21,3,1,5,32,0,0,32,0,0,0
de66f683-989b-41c7-965e-01f62f91d4bb,13,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0
b37e5c65-75bf-4387-8707-2db33c8607a6,45,25,13,12,0,0,1,0,7,0,0,0,0,0,0,0
5df99ec4-532a-4752-938e-1d1bbe3f3d5c,1416,138,958,853,14,90,1,8,23,292,201,0,91,0,0,0
b7b1a259-2ecd-4b7b-854f-fdf5e7f4d01a,495,16,325,312,8,0,5,1,0,155,155,0,0,0,0,0
edf81ff6-359f-48f6-a371-42b161f76f4e,193,58,66,6,0,59,1,0,15,54,1,0,53,0,0,0
50fd26c7-1a83-4f03-a2e5-4ef31ea4a114,3121,907,1144,1131,6,0,7,36,74,963,963,0,0,0,0,0
a26cb204-8059-46bf-91b7-377c0854ab8f,30,27,3,3,0,0,0,0,0,0,0,0,0,0,0,0
f5f8d2be-6622-4aba-a3ec-20dd1ef77209,64,52,12,10,2,0,0,0,0,0,0,0,0,0,0,0
4c1909b4-54c5-4802-a30b-39736408a7bd,277,240,32,29,3,0,0,0,6,0,0,0,0,0,0,0
410ab98b-0862-4ea8-b028-3a38ca96bd3d,9401,2491,4746,3559,25,51,1111,551,335,1278,1230,0,48,0,0,0
8573a64c-71c9-418b-9784-d6d197f994cc,9439,2319,4532,4446,6,74,6,663,81,1844,1768,0,76,0,0,0
71803330-934a-4c4d-bd82-af1ba5e73ae8,29,0,28,28,0,0,0,0,0,1,1,0,0,0,0,0
